Row,Column,down,up,right,left,d,u,r,l
11,11,0,13,0,-3.5,0,13,2.1,-5
10,11,13,16,0,-3.5,13,16,2.1,-5
9,11,16,21,0,-3.5,16,21,2.1,-5
8,11,21,24.5,0,-3.5,21,26.3,2.1,-5
7,11,28.5,32,0,-3.5,26.3,33.51,2.1,-5
7,10,28.5,32,-8,-11,26.5,34,-5,-11
7,9,28.5,32,-11,-15.5,26.5,34,-11,-17.7
7,7,28.5,32,-26.6,-30,26.5,34,-24.7,-30
7,6,28.5,32,-30,-33,26.5,34,-30,-33
7,5,28.5,32,-33,-41,26.5,34,-33,-41
7,1,28.5,32,-60,-66,26.5,34,-60,-67
6,11,36,40,0,-3.5,33.511,40,2.1,-5
5,11,40,42,0,-3.5,40.0,42,2.1,-5
4,11,42,45.5,0,-3.5,42,48.0,2.1,-5
3,11,50,53.4,0,-3.5,48.0,55,2.1,-5
3,10,50,53.4,-8,-11,48,55,-5,-11
3,9,50,53.4,-11,-15.5,48,55,-11,-17.7
3,8,80,53.4,-19.6,-23,48,55,-17.7,-24.5
3,7,50,53.4,-26.6,-30,48,55,-24.7,-30
3,6,50,53.4,-30,-33,48,55,-30,-33
3,5,50,53.4,-33,-41,48,55,-33,-41
3,4,50,53.4,-41,-46.5,48,55,-41,-48.5
3,3,50,53.4,-50.5,-54,48,55,-48.7,-55.5
3,2,50,53.4,-57,-60,48,55,-55.5,-60
3,1,50,53.4,-60,-65,48,55,-60,-67
2,11,57,62,0,-3.5,55,62,2.1,-5
1,11,62,65,0,-3.5,62,67,2.1,-5
0,11,69,72,0,-3.5,67.0,74.5,2.1,-5
0,10,69,72,-8,-11,67,74,-5,-11
0,9,69,72,-11,-15.5,67,74,-11,-17.7
0,8,69,72,-19.6,-23,67,74,-17.7,-24.7
1,8,62,65,-19.6,-23,62,67,-17.7,-24.7
2,8,57,62,-19.6,-23,55,62,-17.7,-24.7
4,8,42,45.5,-19.6,-23,42,48,-17.7,-24.7
5,8,40,42,-19.6,-23,40,42,-17.7,-24.7
6,8,36,40,-19.6,-23,34,40,-17.7,-24.7
7,8,28.5,32,-19.6,-23,26.5,34,-17.7,-24.5
8,8,21,24.5,-19.6,-23,21,26.5,-17.7,-24.7
9,8,16,21,-19.6,-23,16,21,-17.7,-24.7
10,8,13,16,-19.6,-23,11,16,-17.7,-24.7
0,7,69,72,-26.6,-30,67,74,-24.7,-30
0,6,69,72,-30,-33,67,74,-30,-33
0,5,69,72,-33,-38,67,74,-33.,-38
0,4,69,72,-38,-46,67,74,-38,-49
0,3,69,72,-50.5,-54,67,74,-49,-55.5
1,3,61,65,-50.5,-54,61,67,-48.5,-55.5
2,3,57,61,-50.5,-54,55,61,-48.5,-55.5
3,3,50,53.4,-50.5,-54,48,55.5,-48.5,-55.5
4,3,43,46.5,-50.5,-54,43,48,-48.5,-55.5
5,3,40,43,-50.5,-54,38,43,-48.5,-55.5
9,3,16,21,-50.5,-54,16,22.01,-48.5,-55.5
10,3,13,16,-50.5,-54,11,16,-48.5,-55.5
0,2,69,72,-58,-61,67,74,-55.5,-61
0,1,69,72,-61,-65,67,74,-61,-67
0,0,69,72,-69,-72.5,67,74,-67,-74
1,0,63,65,-69,-72.5,63,67,-67,-74
2,0,57,63,-69,-72.5,55,63,-67,-74
3,0,50,53.5,-69,-72.5,48,55,-67,-74
4,0,43,45.5,-69,-72.5,43,48,-67,-74
5,0,40,43,-69,-72.5,40,43,-67,-74
6,0,36,40,-69,-72.5,33.8,40,-67,-74
7,0,28.5,32,-69,-72.5,26.8,33.8,-67,-74
8,0,18,24.5,-69,-72.5,18,26.8,-67,-74
9,0,15,18,-69,-72.5,15,18,-67,-74
10,0,13,15,-69,-72.5,11,15,-67,-74
11,0,6,9.5,-69,-72.5,4,11,-67,-74
11,1,6,9.5,-60,-64.5,4,11,-60,-67
11,2,6,9.5,-58,-60,4,11,-55.5,-60
11,3,6,9.5,-50.5,-54,4,11,-48.5,-55.5
11,4,6,9.5,-43,-46.5,4,11,-43,-48.5
11,5,6,9.5,-36.5,-43,4,11,-35,-43
11,6,6,9.5,-29,-36.5,4,11,-28,-35
11,7,6,9.5,-26.5,-26.5,4,11,-24,-28
11,8,6,9.5,-22.5,-19,4,11,-17,-24
11,9,6,9.5,-9,-15,4,11,-9,-17
11,10,6,9.5,-7,-9,4,11,-5,-9
12,6,0,2.5,-30,-33.3,0,4,-28,-35
13,6,-4,0,-30,-33.3,-5,0,-28,-35